CONNECTION_activities_talked_day_p3m,CONNECTION_activities_group_exercise_p3m,GEO_housing_live_with_dogs,GEO_housing_live_with_cats,LONELY_ucla_loneliness_scale_score,Pet_or_no
A few times a week,Not in the past three months,1.0,0.0,6.0,yes
Weekly,A few times a week,1.0,1.0,5.0,yes
A few times a week,Weekly,1.0,0.0,4.0,yes
Daily or almost daily,Daily or almost daily,0.0,1.0,4.0,yes
A few times a week,A few times a week,0.0,1.0,8.0,yes
Weekly,A few times a week,1.0,0.0,6.0,yes
A few times a month,Monthly,1.0,1.0,5.0,yes
Weekly,Not in the past three months,2.0,4.0,9.0,yes
A few times a week,Monthly,1.0,0.0,8.0,yes
Monthly,Monthly,0.0,0.0,8.0,no
Weekly,Less than monthly,0.0,0.0,5.0,no
Monthly,Less than monthly,0.0,0.0,6.0,no
A few times a week,Not in the past three months,0.0,0.0,9.0,no
Monthly,Weekly,1.0,0.0,3.0,yes
